date,Room Number,T_Occupancy,T_time,Camera1,Camera2,Camera3
30-03-2022,M1 Room,3,14:39:21,1,2,0
30-03-2022,M1 Room,1,14:39:40,0,1,0
30-03-2022,M1 Room,3,14:39:46,1,2,0
30-03-2022,M1 Room,1,14:51:34,0,1,0
30-03-2022,M1 Room,4,14:51:38,1,3,0
30-03-2022,M1 Room,1,14:51:50,0,1,0
30-03-2022,M1 Room,1,14:52:03,0,1,0
30-03-2022,M1 Room,4,14:52:17,1,2,1
30-03-2022,M1 Room,1,14:52:51,0,1,0
30-03-2022,M1 Room,1,14:52:57,0,1,0
30-03-2022,M1 Room,0,14:53:03,0,0,0
30-03-2022,M1 Room,2,14:53:29,1,1,0
30-03-2022,M1 Room,4,14:53:43,0,3,1
30-03-2022,M1 Room,2,14:53:46,1,1,0
30-03-2022,M1 Room,4,14:53:49,0,3,1
30-03-2022,M1 Room,1,14:54:01,0,1,0
30-03-2022,M1 Room,4,14:54:06,1,2,1
30-03-2022,M1 Room,1,14:57:33,0,1,0
30-03-2022,M1 Room,1,14:57:47,0,1,0
30-03-2022,M1 Room,1,14:57:57,0,1,0
30-03-2022,M1 Room,1,14:58:21,0,1,0
30-03-2022,M1 Room,1,14:58:24,0,1,0
30-03-2022,M1 Room,1,14:58:35,0,1,0
30-03-2022,M1 Room,0,14:58:48,0,0,0
30-03-2022,M1 Room,1,14:59:02,0,1,0
30-03-2022,M1 Room,2,14:59:15,1,1,0
30-03-2022,M1 Room,1,15:00:41,0,1,0
30-03-2022,M1 Room,1,15:00:55,0,1,0
30-03-2022,M1 Room,0,15:00:59,0,0,0
30-03-2022,M1 Room,1,15:01:17,0,1,0
30-03-2022,M1 Room,4,15:01:31,2,2,0
30-03-2022,M1 Room,1,15:01:36,0,1,0
30-03-2022,M1 Room,4,15:01:50,2,2,0
30-03-2022,M1 Room,1,15:02:14,0,1,0
30-03-2022,M1 Room,1,15:02:34,0,1,0
30-03-2022,M1 Room,1,15:02:37,0,1,0
30-03-2022,M1 Room,0,15:03:26,0,0,0
30-03-2022,M1 Room,1,15:03:47,0,1,0
30-03-2022,M1 Room,1,15:03:56,0,1,0
30-03-2022,M1 Room,1,15:04:12,0,1,0
30-03-2022,M1 Room,0,15:04:16,0,0,0
30-03-2022,M1 Room,1,15:13:28,0,1,0
30-03-2022,M1 Room,0,15:13:34,0,0,0
30-03-2022,M1 Room,1,15:17:39,0,1,0
30-03-2022,M1 Room,1,15:17:43,0,1,0
30-03-2022,M1 Room,1,15:17:54,0,1,0
30-03-2022,M1 Room,3,15:18:02,2,1,0
30-03-2022,M1 Room,1,15:18:07,0,1,0
30-03-2022,M1 Room,1,15:18:30,0,1,0
30-03-2022,M1 Room,0,15:18:35,0,0,0
30-03-2022,M1 Room,2,15:41:59,1,1,0
30-03-2022,M1 Room,1,15:42:26,0,1,0
30-03-2022,M1 Room,1,15:50:04,0,1,0
30-03-2022,M1 Room,0,15:50:09,0,0,0
31-03-2022,M1 Room,2,9:43:57,0,2,0
31-03-2022,M1 Room,3,9:44:05,0,2,1
31-03-2022,M1 Room,4,9:44:55,1,2,1
31-03-2022,M1 Room,4,9:45:02,1,2,1
31-03-2022,M1 Room,2,9:45:33,1,1,0
31-03-2022,M1 Room,3,9:58:53,0,3,0
31-03-2022,M1 Room,4,9:59:17,0,4,0
31-03-2022,M1 Room,2,10:01:39,0,2,0
31-03-2022,M1 Room,7,10:09:42,1,6,0
31-03-2022,M1 Room,3,10:12:23,1,2,0
31-03-2022,M1 Room,2,10:25:52,0,2,0
31-03-2022,M1 Room,1,10:26:10,1,0,0
31-03-2022,M1 Room,1,10:28:18,0,1,0
31-03-2022,M1 Room,2,10:28:44,1,1,0
31-03-2022,M1 Room,4,10:30:13,1,3,0
31-03-2022,M1 Room,2,10:30:50,1,1,0
31-03-2022,M1 Room,2,8:56:57,0,2,0
31-03-2022,M1 Room,1,8:57:06,0,1,0
31-03-2022,M1 Room,2,8:57:12,1,1,0
31-03-2022,M1 Room,1,9:00:52,0,1,0
31-03-2022,M1 Room,0,9:01:06,0,0,0
31-03-2022,M1 Room,1,9:01:21,0,1,0
31-03-2022,M1 Room,1,9:01:26,0,1,0
31-03-2022,M1 Room,1,9:01:30,0,1,0
31-03-2022,M1 Room,2,9:01:36,1,1,0
31-03-2022,M1 Room,1,9:01:42,0,1,0
31-03-2022,M1 Room,2,9:02:01,1,1,0
31-03-2022,M1 Room,1,9:02:27,0,1,0
31-03-2022,M1 Room,1,9:02:31,0,1,0
31-03-2022,M1 Room,0,9:02:36,0,0,0
31-03-2022,M1 Room,3,9:28:10,0,3,0
31-03-2022,M1 Room,4,9:28:12,2,2,0
31-03-2022,M1 Room,2,9:28:18,0,2,0
31-03-2022,M1 Room,3,9:28:23,2,1,0
31-03-2022,M1 Room,1,9:28:42,0,1,0
31-03-2022,M1 Room,1,9:29:03,0,1,0
31-03-2022,M1 Room,2,9:29:04,1,1,0
31-03-2022,M1 Room,1,9:29:10,0,1,0
31-03-2022,M1 Room,1,9:29:17,0,1,0
31-03-2022,M1 Room,3,9:29:23,1,2,0
31-03-2022,M1 Room,2,9:30:30,0,2,0
31-03-2022,M1 Room,2,9:31:15,0,2,0
31-03-2022,M1 Room,3,9:31:18,1,2,0
31-03-2022,M1 Room,3,9:32:17,0,3,0
31-03-2022,M1 Room,2,9:32:23,0,2,0
31-03-2022,M1 Room,3,9:32:28,1,2,0
31-03-2022,M1 Room,2,9:32:29,0,2,0
31-03-2022,M1 Room,3,9:32:38,1,2,0
31-03-2022,M1 Room,2,9:32:54,0,2,0
31-03-2022,M1 Room,3,9:33:01,1,2,0
31-03-2022,M1 Room,3,9:33:11,0,3,0
31-03-2022,M1 Room,2,9:33:15,1,1,0
31-03-2022,M1 Room,2,9:33:33,0,2,0
31-03-2022,M1 Room,2,9:33:46,1,1,0
31-03-2022,M1 Room,2,9:34:05,0,2,0
31-03-2022,M1 Room,3,9:34:11,2,1,0
31-03-2022,M1 Room,2,9:34:35,0,2,0
31-03-2022,M1 Room,2,9:34:42,0,2,0
31-03-2022,M1 Room,3,9:35:15,0,3,0
31-03-2022,M1 Room,3,9:35:23,0,3,0
31-03-2022,M1 Room,3,9:35:48,0,3,0
31-03-2022,M1 Room,3,9:35:53,0,3,0
31-03-2022,M1 Room,3,9:35:57,2,1,0
31-03-2022,M1 Room,3,9:36:20,0,3,0
31-03-2022,M1 Room,3,9:36:27,0,3,0
31-03-2022,M1 Room,3,9:36:33,0,3,0
31-03-2022,M1 Room,3,9:36:37,0,3,0
31-03-2022,M1 Room,3,9:36:39,2,1,0
31-03-2022,M1 Room,3,9:36:48,0,3,0
31-03-2022,M1 Room,4,9:37:02,3,1,0
31-03-2022,M1 Room,1,9:38:05,0,1,0
31-03-2022,M1 Room,2,9:38:14,0,2,0
31-03-2022,M1 Room,1,9:38:28,0,1,0
